CustomerID,JoinDate,ChurnDate,CustomerStatus,Age,AgeGroup,Gender,Geography,TenureMonths,IncomeLevel,ContractType,SubscriptionPlan,MonthlyCharges,PaymentMethod,AutoPay,SupportCalls,LatePayments,SatisfactionScore,TotalRevenue,LastActivityDate,RiskScore,RiskCategory,ChurnReason
CUST-00001,7/15/2023,,Active,77,65+,Male,South,30,Middle,One Year,Standard,85.14,Electronic Check,No,1,2,5,2558.04,10/25/2025,41,Medium Risk,
CUST-00002,6/24/2022,6/30/2025,Churned,31,25-34,Female,Midwest,37,High,One Year,Standard,80.54,Electronic Check,No,0,2,5,2983.61,6/30/2025,42,Churned,Needs Changed
CUST-00003,9/10/2025,,Active,47,45-54,Male,Northeast,4,High,One Year,Basic,39.72,Electronic Check,No,1,1,4,159.48,11/22/2025,61,Medium Risk,
CUST-00004,10/30/2022,,Active,56,55-64,Male,South,39,Middle,Month-to-Month,Basic,38.57,Electronic Check,No,1,2,3,1506.55,9/11/2025,74,High Risk,
CUST-00005,12/21/2024,,Active,45,45-54,Female,Midwest,13,Middle,Month-to-Month,Premium,122.94,Credit Card,Yes,3,2,4,1601.9,11/13/2025,59,Medium Risk,
CUST-00006,7/18/2024,2/28/2025,Churned,43,35-44,Male,Midwest,8,Middle,Month-to-Month,Basic,44.45,Mailed Check,No,6,3,2,356.27,2/28/2025,98,Churned,Competitor Offer
CUST-00007,4/15/2023,,Active,80,65+,Female,Midwest,33,Middle,Month-to-Month,Basic,39.62,Bank Transfer,Yes,6,0,2,1309.23,11/10/2025,74,High Risk,
CUST-00008,10/11/2023,,Active,64,55-64,Female,South,27,Middle,Month-to-Month,Basic,58.74,Credit Card,Yes,4,2,3,1588.62,12/5/2025,63,Medium Risk,
CUST-00009,10/2/2023,3/31/2024,Churned,42,35-44,Male,South,6,Low,Month-to-Month,Standard,75.71,Electronic Check,No,2,3,3,455.4,3/31/2024,81,Churned,Competitor Offer
CUST-00010,6/24/2022,,Active,21,18-24,Male,West,43,Middle,One Year,Premium,124.06,Electronic Check,No,3,3,3,5342.02,11/22/2025,67,Medium Risk,
CUST-00011,6/12/2025,,Active,67,65+,Female,West,7,Low,Month-to-Month,Premium,108.87,Bank Transfer,Yes,1,1,5,763.72,11/11/2025,56,Medium Risk,
CUST-00012,4/29/2022,,Active,61,55-64,Non-binary,Northeast,45,High,Month-to-Month,Standard,80.77,Credit Card,No,4,1,3,3639.49,12/8/2025,67,Medium Risk,
CUST-00013,10/23/2023,,Active,32,25-34,Female,West,27,Low,One Year,Basic,45.26,Mailed Check,No,3,2,4,1224.06,10/24/2025,51,Medium Risk,
CUST-00014,8/22/2023,,Active,24,18-24,Male,West,29,Middle,Month-to-Month,Standard,91.39,Electronic Check,Yes,0,3,4,2654.42,12/4/2025,51,Medium Risk,
CUST-00015,8/12/2025,,Active,67,65+,Female,South,5,High,One Year,Standard,72.37,Credit Card,Yes,1,2,4,362.94,12/27/2025,33,Low Risk,
