MonthStart,CustomerID,MonthlyRevenue
7/1/2023,CUST-00001,85.14
8/1/2023,CUST-00001,85.14
9/1/2023,CUST-00001,85.14
10/1/2023,CUST-00001,85.14
11/1/2023,CUST-00001,85.14
12/1/2023,CUST-00001,86.42
1/1/2024,CUST-00001,85.14
2/1/2024,CUST-00001,85.14
3/1/2024,CUST-00001,85.14
4/1/2024,CUST-00001,85.14
5/1/2024,CUST-00001,85.14
6/1/2024,CUST-00001,85.14
7/1/2024,CUST-00001,85.14
8/1/2024,CUST-00001,85.14
9/1/2024,CUST-00001,85.14
10/1/2024,CUST-00001,85.14
11/1/2024,CUST-00001,85.14
12/1/2024,CUST-00001,86.42
1/1/2025,CUST-00001,85.14
2/1/2025,CUST-00001,85.14
3/1/2025,CUST-00001,85.14
4/1/2025,CUST-00001,85.14
5/1/2025,CUST-00001,85.14
6/1/2025,CUST-00001,85.14
7/1/2025,CUST-00001,85.14
8/1/2025,CUST-00001,85.14
9/1/2025,CUST-00001,85.14
10/1/2025,CUST-00001,85.14
11/1/2025,CUST-00001,85.14
12/1/2025,CUST-00001,86.42
6/1/2022,CUST-00002,80.54
7/1/2022,CUST-00002,80.54
8/1/2022,CUST-00002,80.54
9/1/2022,CUST-00002,80.54
10/1/2022,CUST-00002,80.54
11/1/2022,CUST-00002,80.54
12/1/2022,CUST-00002,81.75
1/1/2023,CUST-00002,80.54
2/1/2023,CUST-00002,80.54
3/1/2023,CUST-00002,80.54
4/1/2023,CUST-00002,80.54
5/1/2023,CUST-00002,80.54
6/1/2023,CUST-00002,80.54
7/1/2023,CUST-00002,80.54
8/1/2023,CUST-00002,80.54
9/1/2023,CUST-00002,80.54
10/1/2023,CUST-00002,80.54
11/1/2023,CUST-00002,80.54
12/1/2023,CUST-00002,81.75
1/1/2024,CUST-00002,80.54
2/1/2024,CUST-00002,80.54
3/1/2024,CUST-00002,80.54
4/1/2024,CUST-00002,80.54
5/1/2024,CUST-00002,80.54
6/1/2024,CUST-00002,80.54
7/1/2024,CUST-00002,80.54
8/1/2024,CUST-00002,80.54
9/1/2024,CUST-00002,80.54
10/1/2024,CUST-00002,80.54
11/1/2024,CUST-00002,80.54
12/1/2024,CUST-00002,81.75
1/1/2025,CUST-00002,80.54
